dataset,method,config,accuracy,kappa_m,n_instances,filename
ozone,SoftReset,soft_reset_abc_rl1_adwin,0.930939,-0.093750,2534,NeuralARTE_ozone_soft_reset_abc_rl1_adwin_s123456789_20260405_233842.csv
ozone,SoftReset,soft_reset_abc_rl1_nodrift,0.937253,0.006250,2534,NeuralARTE_ozone_soft_reset_abc_rl1_nodrift_s123456789_20260418_000958.csv
ozone,SoftReset,soft_reset_current_rl1_adwin,0.929755,-0.112500,2534,NeuralARTE_ozone_soft_reset_current_rl1_adwin_s123456789_20260417_222156.csv
ozone,SoftReset,soft_reset_current_rl1_nodrift,0.929755,-0.112500,2534,NeuralARTE_ozone_soft_reset_current_rl1_nodrift_s123456789_20260418_001032.csv
rialto,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.667441,0.630490,82250,NeuralARTE_rialto_soft_reset_abc_cnn_rl1_adwin_s123456789_20260417_231216.csv
rialto,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.719185,0.687984,82250,NeuralARTE_rialto_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_211140.csv
rialto,SoftReset,soft_reset_abc_rl1_adwin,0.629690,0.588544,82250,NeuralARTE_rialto_soft_reset_abc_rl1_adwin_s123456789_20260405_235148.csv
rialto,SoftReset,soft_reset_current_rl1_adwin,0.689398,0.654887,82250,NeuralARTE_rialto_soft_reset_current_rl1_adwin_s123456789_20260417_224703.csv
sea_a,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.794758,0.488041,1000000,NeuralARTE_sea_a_soft_reset_abc_cnn_rl1_adwin_s123456789_20260419_040438.csv
sea_a,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.796977,0.493576,1000000,NeuralARTE_sea_a_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260419_011907.csv
sea_a,SoftReset,soft_reset_current_rl1_adwin,0.800055,0.501253,1000000,NeuralARTE_sea_a_soft_reset_current_rl1_adwin_s123456789_20260418_040718.csv
sea_g,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.794207,0.486672,1000000,NeuralARTE_sea_g_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260419_011908.csv
sea_g,SoftReset,soft_reset_abc_proj_rl1_adwin,0.791734,0.480504,1000000,NeuralARTE_sea_g_soft_reset_abc_proj_rl1_adwin_s123456789_20260418_040719.csv
shuttle,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.990983,0.957867,57999,NeuralARTE_shuttle_soft_reset_abc_cnn_rl1_adwin_s123456789_20260417_225609.csv
shuttle,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.990672,0.956417,57999,NeuralARTE_shuttle_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_205008.csv
shuttle,SoftReset,soft_reset_abc_proj_rl1_nodrift,0.990827,0.957142,57999,NeuralARTE_shuttle_soft_reset_abc_proj_rl1_nodrift_s123456789_20260418_022140.csv
shuttle,SoftReset,soft_reset_abc_rl1_adwin,0.991138,0.958592,57999,NeuralARTE_shuttle_soft_reset_abc_rl1_adwin_s123456789_20260405_234047.csv
shuttle,SoftReset,soft_reset_abc_rl1_nodrift,0.991052,0.958189,57999,NeuralARTE_shuttle_soft_reset_abc_rl1_nodrift_s123456789_20260418_022036.csv
shuttle,SoftReset,soft_reset_current_rl1_adwin,0.992276,0.963909,57999,NeuralARTE_shuttle_soft_reset_current_rl1_adwin_s123456789_20260417_222801.csv
shuttle,SoftReset,soft_reset_current_rl1_nodrift,0.991621,0.960847,57999,NeuralARTE_shuttle_soft_reset_current_rl1_nodrift_s123456789_20260418_022035.csv
airlines,HeteroBagging,abc_adwin_dir,0.684718,0.292204,539383,HeteroBagging_airlines_abc_adwin_dir_s123456789_20260418_004203.csv
airlines,HeteroBagging,abc_nodrift,0.688184,0.299987,539383,HeteroBagging_airlines_abc_nodrift_s123456789_20260418_004205.csv
covtype,HeteroBagging,abc_adwin_dir,0.905642,0.815852,581012,HeteroBagging_covtype_abc_adwin_dir_s123456789_20260418_004148.csv
covtype,HeteroBagging,abc_nodrift,0.930884,0.865114,581012,HeteroBagging_covtype_abc_nodrift_s123456789_20260418_004149.csv
electricity,HeteroBagging,abc_adwin_dir,0.884622,0.728232,45312,HeteroBagging_electricity_abc_adwin_dir_s123456789_20260417_223124.csv
electricity,HeteroBagging,abc_nodrift,0.898901,0.761865,45312,HeteroBagging_electricity_abc_nodrift_s123456789_20260417_223125.csv
electricity,HeteroBagging,abc_proj_adwin_dir,0.885108,0.729376,45312,HeteroBagging_electricity_abc_proj_adwin_dir_s123456789_20260418_045444.csv
electricity,HeteroBagging,abc_proj_nodrift,0.900600,0.765868,45312,HeteroBagging_electricity_abc_proj_nodrift_s123456789_20260418_062639.csv
electricity,HeteroBagging,heterogeneous_adwin_dir,0.899695,0.763737,45312,HeteroBagging_electricity_heterogeneous_adwin_dir_s123456789_20260418_033108.csv
electricity,HeteroBagging,heterogeneous_nodrift,0.875331,0.706347,45312,HeteroBagging_electricity_heterogeneous_nodrift_s123456789_20260418_040522.csv
gassensor,HeteroBagging,abc_adwin_dir,0.933645,0.915329,13910,HeteroBagging_gassensor_abc_adwin_dir_s123456789_20260417_222323.csv
gassensor,HeteroBagging,abc_nodrift,0.962832,0.952573,13910,HeteroBagging_gassensor_abc_nodrift_s123456789_20260417_222324.csv
gassensor,HeteroBagging,abc_proj_adwin_dir,0.928900,0.909274,13910,HeteroBagging_gassensor_abc_proj_adwin_dir_s123456789_20260418_010652.csv
gassensor,HeteroBagging,abc_proj_nodrift,0.967146,0.958077,13910,HeteroBagging_gassensor_abc_proj_nodrift_s123456789_20260418_012013.csv
gassensor,HeteroBagging,heterogeneous_adwin_dir,0.947520,0.933034,13910,HeteroBagging_gassensor_heterogeneous_adwin_dir_s123456789_20260417_233216.csv
gassensor,HeteroBagging,heterogeneous_nodrift,0.958231,0.946702,13910,HeteroBagging_gassensor_heterogeneous_nodrift_s123456789_20260417_233540.csv
gmsc,HeteroBagging,abc_adwin_dir,0.935220,0.030820,150000,HeteroBagging_gmsc_abc_adwin_dir_s123456789_20260417_231029.csv
gmsc,HeteroBagging,abc_nodrift,0.935340,0.032615,150000,HeteroBagging_gmsc_abc_nodrift_s123456789_20260417_231029.csv
led_a,HeteroBagging,abc_adwin_dir,0.739730,0.710544,1000000,HeteroBagging_led_a_abc_adwin_dir_s123456789_20260418_203205.csv
led_a,HeteroBagging,abc_nodrift,0.739936,0.710773,1000000,HeteroBagging_led_a_abc_nodrift_s123456789_20260418_203307.csv
